id,text,response,distress,role,stage,cancer_type,tone,length,channel,age_group,noisy
192,"It still feels surreal, losing him like that. But they say there's been so much progress with brain tumors lately. I keep reading about new treatments and trials. Maybe if this had happened a few years down the line... who knows what could be possible then? We have to keep believing in those possibilities.",hope,low,neighbor,bereavement,brain,messy,long,personal journal,middle-aged,False
193,If only I had pushed for that second opinion sooner. Maybe things wouldn't be this way.,guilt,medium,nurse or carer,treatment,ovarian,formal,medium,SMS,middle-aged,False
194,"Doc said everything is fine now but I can't stop thinking about that damn mole.  forgot to buy milk today gotta run to the store rn.  This is all just a bad dream, right?",denial,high,patient,remission,melanoma,formal,medium,SMS,elderly,True
195,"The scans were good news, just quiet now instead of a storm brewing.",acceptance,low,nurse or carer,remission,lung,messy,short,personal journal,elderly,False
196,"Every time my phone rings, I jump. Is it them? Calling to say something's changed? They said it was stable last time, but what if that wasn't true? Maybe they just didn't want to upset me. It's hard to even think about anything else right now.",anxiety,medium,support-group member,bereavement,breast,casual,long,personal journal,young adult,False
197,"The treatments are just... so exhausting now. I don't know how much longer I can keep doing this. My family tries to be supportive, but sometimes it feels like I'm letting them down by being so weak.",sadness,high,neighbor,palliative,colon,formal,medium,online forum,middle-aged,False
198,This wasn't supposed to be how we spent our retirement.,anger,low,spouse,palliative,colon,formal,short,personal journal,elderly,False
199,"My latest scan showed some promising signs of stability, so I'm cautiously optimistic that this new treatment plan is working. It hasn't been easy, but there's still a fight left in me, and I'm determined to make the most of every day.",hope,medium,support-group member,palliative,brain,formal,medium,SMS,middle-aged,False
200,"i keep replaying everything in my head, every meal i made, every argument we had...rn shoulda been nicer, shoulda done more.  how could i let this happen?  the garden's lookin' rough, weeds everywhere, guess i just can't focus rn.  everything feels broken.",guilt,high,nurse or carer,bereavement,brain,formal,long,personal journal,middle-aged,True
201,"The doctors keep talking about ""palliative care"" but honestly, they just need to find the right chemo cocktail. Mark's been through so much already, he deserves a win this time.",denial,low,spouse,palliative,pancreatic,casual,medium,personal journal,young adult,False
202,"Mom's doing good rn, the doctor said she's in remission which is great news, I guess? Still feels kinda surreal tho. Didnt think we'd ever get here tbh.  Need to remember to pick up milk later. Anyway, gotta stay positive right? Just taking it one day at a time.",acceptance,medium,adult child,remission,leukemia,messy,long,personal journal,elderly,True
203,"Just found myself sobbing in the kitchen again.  Melanoma remission is supposed to be a good thing, right? But every little ache makes me think it's back. I can't stop picturing those scans and what that doctor said. How am I supposed to live like this forever, waiting for the other shoe to drop?",anxiety,high,spouse,remission,melanoma,casual,long,SMS,young adult,False
204,"They finally said the words today. Pancreatic cancer. It feels like a whole other life is gone already, even though it hasn't technically ended.",sadness,low,support-group member,diagnosis,pancreatic,messy,medium,online forum,middle-aged,False
205,"rn seriously? u gotta be kidding me -  the dog needs a bath and this is what I get for being ""strong""?  😡",anger,medium,parent of a sick child,remission,ovarian,formal,short,online forum,young adult,True
206,"The melanoma...it just keeps spreading, I swear it's a monster taking over his body.  Doctors keep saying there's nothing more they can do. But I won't believe them, not yet. We have to find something, anything, to fight this back. I've been calling every specialist, every research trial under the sun. There has to be a chance. My husband...he deserves more time. Please, someone tell me there's still a fighting chance.",hope,high,spouse,palliative,melanoma,messy,long,online forum,middle-aged,False
207,If only I had encouraged him to see a doctor sooner.,guilt,low,adult child,palliative,pancreatic,formal,short,online forum,young adult,False
208,"They say it's back? I don't know, those doctors always seem so serious. My last scan was clear, remember? Maybe they just need to double-check things. It'll be fine, like before. We beat this once, right?",denial,medium,patient,relapse,lymphoma,messy,long,online forum,elderly,False
209,"It just feels so relentless sometimes, this whole thing... My world feels shrunk down to doctor's appointments and these side effects. I'm trying to keep my head above water but honestly, some days I don't know how.",acceptance,high,neighbor,treatment,melanoma,formal,medium,SMS,young adult,False
210,"The doctor called today. Said the leukemia is back.  It's not a surprise, I guess. Still, it makes you think, doesn't it? What's next? I suppose I'll just keep going with the treatments they suggest and see what happens.",anxiety,low,neighbor,relapse,leukemia,casual,long,personal journal,elderly,False
211,Every day feels like saying goodbye a little bit earlier.,sadness,medium,parent of a sick child,palliative,colon,casual,short,personal journal,elderly,False
212,"It's just not fair.  I did everything ""right"" - sunscreen, checking my moles - and now this?  How could something like this happen to me?",anger,high,support-group member,diagnosis,melanoma,formal,medium,online forum,young adult,False
213,The oncologist was very positive about my response to treatment so far.,hope,low,support-group member,treatment,pancreatic,formal,short,SMS,middle-aged,False
214,"It's pancreatic cancer they say. I always thought I took care of myself, ate right, exercised... what did I do wrong? This can't be happening.",guilt,medium,coworker,diagnosis,pancreatic,messy,medium,online forum,elderly,False
215,"This chemo stuff is just a temporary setback, it has to be, right?",denial,high,nurse or carer,treatment,breast,casual,short,personal journal,middle-aged,False
216,"Mom just got diagnosed with leukemia. It's a lot to take in, but we're going to figure out the next steps. The doctors seem optimistic and they have a good plan, so I trust them.  It's a new normal for sure, but we'll adjust.",acceptance,low,adult child,diagnosis,leukemia,casual,long,online forum,elderly,False
217,"Just got called back for more tests rn,  think my cat is sensing somethin' cause he won't leave my side :(",anxiety,medium,patient,diagnosis,breast,casual,short,online forum,elderly,True
218,"This poison is stealing me away, piece by agonizing piece.",sadness,high,close friend,treatment,leukemia,formal,short,online forum,elderly,False
219,"This is so unfair! I mean, seriously? Lung cancer? Me? I don't even smoke!  Guess I'll be stuck inside all summer while everyone else goes to the beach. Great. Just great.",anger,low,neighbor,diagnosis,lung,casual,long,personal journal,teen,False
220,"Still can't believe we're going thru this rn, but gotta keep fighting for my kiddo.  They deserve a chance to grow up and see everything life has to offer. By the way, anyone got a good recipe for chocolate chip cookies? 🍪",hope,medium,parent of a sick child,bereavement,colon,casual,medium,online forum,middle-aged,True
221,"It's all my fault. I should have listened to Mom and Dad about not smoking. Now look at me, stuck in this hospital bed while everyone else is out living their lives. What's the point of even trying anymore?",guilt,high,coworker,treatment,lung,messy,medium,online forum,teen,False
222,"Mom says it's something called pancreatic cancer but I think she's just being extra careful because Grandma had a stomach thing. Whatever it is, they'll figure out how to fix it.  They always do.",denial,low,neighbor,diagnosis,pancreatic,casual,medium,personal journal,teen,False
223,"It's weird, you know? Everything's ""normal"" now, almost too normal. He's back to work, making bad jokes at dinner.  Sometimes I see him staring off, like he's miles away, and it hits me all over again. What if it comes back? But mostly, I just try to focus on right now. On the laugh lines around his eyes when he smiles at me. Right now is okay.",acceptance,medium,spouse,remission,prostate,messy,long,personal journal,teen,False
224,"I can't stop shaking. This chemo is brutal. My hair's coming out in clumps and I feel like throwing up all the time.  How am I supposed to do this? It just feels impossible.  God, I need something to calm me down.",anxiety,high,nurse or carer,treatment,breast,casual,long,SMS,young adult,False
225,"My neighbor was so strong, I wish it had lasted longer.",sadness,low,neighbor,bereavement,ovarian,messy,short,online forum,teen,False
226,This isn't fair.  Why me?,anger,medium,neighbor,diagnosis,leukemia,formal,short,online forum,teen,False
227,"My hands are shaking so bad I can barely type this. They said there's nothing more they can do, but I refuse to believe it.  We HAVE to find a way, there has to be something!",hope,high,close friend,palliative,pancreatic,messy,medium,SMS,teen,False
228,"Should have insisted on more veggies when they were younger.  The oncologist says things are good rn but I keep thinking about what I could've done differently. Anyway gotta run, picking up milk from the store b4 it closes. Thx.",guilt,low,parent of a sick child,remission,lymphoma,formal,long,SMS,middle-aged,True
229,"He's been sleeping so much lately, but they said this new treatment was supposed to give him more energy! I'm just hoping it takes a bit longer to kick in.  He looks good though, right?",denial,medium,nurse or carer,relapse,pancreatic,messy,medium,SMS,middle-aged,False
230,"My neighbor passed away this morning from ovarian cancer. It feels like it happened so fast and I don't know what to do. Everything reminds me of her, even just walking by our house makes me burst into tears. How am I supposed to go on without her?  I miss her laugh so much.",acceptance,high,neighbor,bereavement,ovarian,casual,long,SMS,teen,False
231,"Just got off the phone with Dr. Lee.  The new scans aren't great. Need to go back for more treatment rn. Ugh, forgot to pick up milk at the store earlier today. This is a lot to handle.",anxiety,low,spouse,relapse,brain,formal,long,SMS,middle-aged,True
232,"still can't believe he's gone rn.  the leukemia just took him so fast. forgot to pick up milk today, gotta do that tomorrow.  I miss his laugh so much.",sadness,medium,nurse or carer,bereavement,leukemia,casual,medium,personal journal,elderly,True
233,"This whole ordeal is just unfair. I followed all the rules, ate right, exercised, and still got hit with this. It's like my body betrayed me.  All those years of planning for retirement, for enjoying life...now it feels stolen. How can something like this be happening?",anger,high,neighbor,remission,ovarian,formal,long,SMS,elderly,False
234,"Got some news today that wasn't exactly what I was hoping for, but hey, they caught it early and that's gotta count for something.  Gonna hit this thing head-on with everything I've got.   Doctors seem optimistic about the treatment options and so am I.  Time to fight back!",hope,low,patient,diagnosis,pancreatic,casual,long,personal journal,young adult,False
235,"I always pushed her to eat healthier, exercise more, maybe if I hadn't been so insistent...",guilt,medium,adult child,palliative,ovarian,formal,short,online forum,young adult,False
236,"It's just this stupid cold, right? It has to be.  I feel fine otherwise!",denial,high,nurse or carer,remission,pancreatic,messy,short,personal journal,young adult,False
237,"It's been a quiet few months since my last treatment.  The scans are clear and I'm focusing on rebuilding strength and stamina. It's strange to think that this is my new normal now, but I'm learning to embrace the changes and appreciate each day as it comes.",acceptance,low,nurse or carer,remission,ovarian,formal,long,online forum,middle-aged,False
238,"The oncologist outlined the treatment plan today and, while I understand it logically, it's all so much to process. Every time I think I've grasped what's ahead, a wave of uncertainty washes over me. How will this impact my daily life? What if things don't go as planned? It's hard not to feel overwhelmed by the magnitude of it all.",anxiety,medium,close friend,treatment,lung,formal,long,online forum,elderly,False
239,My head is spinning. I just don't know what to do with this. It feels like everything has fallen apart and I can barely breathe. Leukemia? How could this be happening to me? My life was supposed to go so differently.,sadness,high,support-group member,diagnosis,leukemia,casual,long,SMS,young adult,False
240,It isn't fair that she had to go through all of that.,anger,low,close friend,bereavement,ovarian,formal,short,online forum,teen,False
241,"They said lymphoma. It's scary, for sure. But I gotta fight this thing. I will be okay.  I know it.",hope,medium,neighbor,diagnosis,lymphoma,messy,medium,personal journal,teen,False
242,"I can't stop thinking maybe it was something I did. All that junk food, the lack of exercise... What if I just pushed him too hard with those weekend hikes? Maybe this is my fault. Everything feels broken. I wish I could take it back.",guilt,high,close friend,remission,colon,messy,long,personal journal,young adult,False
243,"doc said it's just some fluid buildup rn, gotta cut back on salt i guess  my grandkids are comin over for dinner soon",denial,low,support-group member,treatment,lung,formal,short,online forum,elderly,True
244,"ugh rn my lymphoma is just kinda...there. I guess that's better than it being awful, right? Still sucks tho. My mom made this killer lasagna last night tho, gotta give her props for that. Anyway,  been thinking a lot about what comes next, and tbh it's not so scary anymore. Just kinda waiting to see what happens, u know?",acceptance,medium,support-group member,palliative,lymphoma,casual,long,online forum,teen,True
245,cant stop thinking about her rn like its all so unfair!! spilled coffee all over my notes ughhh im freaking out 💔,anxiety,high,coworker,bereavement,ovarian,messy,medium,SMS,teen,True
246,Still can't believe he's gone. Thought I'd be ok rn but making dinner without him just felt so empty.  Wish we could have had one more summer by the lake together.,sadness,low,nurse or carer,bereavement,lung,casual,medium,personal journal,middle-aged,True
247,It isn't fair that he had to go through all of that.,anger,medium,support-group member,bereavement,brain,formal,short,SMS,teen,False
248,"The chemo is brutal, but I cling to believing this won't be forever.",hope,high,support-group member,treatment,leukemia,formal,short,SMS,young adult,False
249,"Ugh rn i feel like this whole thing is my fault, shoulda quit smoking ages ago  before that last dog i had",guilt,low,support-group member,remission,lung,casual,short,personal journal,middle-aged,True
250,"It's been weird lately, everyone's so focused on this ""melanoma"" thing.  They keep talking about treatments and scans as if that's all there is to it, like some kind of puzzle we just have to solve. I get that they're worried, but honestly, I feel completely fine.  I know things will work out – I'm young and healthy. We just need to focus on the positives and keep moving forward.",denial,medium,close friend,palliative,melanoma,formal,long,personal journal,young adult,False
251,"My head hurts so bad all the time. I can barely think straight, let alone do homework anymore.  I miss hanging out with everyone, just being normal. This is so unfair. What's even the point?",acceptance,high,adult child,treatment,brain,messy,long,SMS,teen,False
252,"Seriously what do I even do now? They said it might be something in my breast and I have to get a biopsy next week. I'm freaking out a little bit, this is so scary.",anxiety,low,patient,diagnosis,breast,messy,long,SMS,young adult,False
253,"The chemo seems to be working less well these days.  It's hard not to think about what that means for me and my family. I wish there were more time, you know? More birthdays, holidays, just ordinary days together. Still, I try to keep going for them.",sadness,medium,coworker,palliative,breast,casual,long,personal journal,middle-aged,False
254,Thought it was gone for good! This damn thing is back and I just wanna SCREAM.  Need new wrench for the lawnmower too BTW  🤬🤬🤬,anger,high,close friend,relapse,prostate,messy,medium,SMS,elderly,True
255,"Chemo's rough, but I'm feeling pretty good today!  Thinking positive vibes are gonna kick this thing to the curb. 💪",hope,low,patient,treatment,ovarian,casual,medium,SMS,young adult,False
256,"Mom always said I needed to eat more vegetables. Guess she was right, huh? Now look at me, stuck in remission after everything.  What if it comes back?",guilt,medium,adult child,remission,lymphoma,messy,medium,SMS,young adult,False
257,"This stupid cough just won't go away, I bet it'll be fine in a few days.",denial,high,support-group member,palliative,lung,casual,short,SMS,teen,False
258,"Ran out of milk again. Dr. Lee said his lungs are responding well to the treatment rn. Hoping for the best, but gotta take it day by day.",acceptance,low,parent of a sick child,treatment,lung,formal,medium,SMS,elderly,True
259,"They said it was gone, but every headache makes me wonder if they were wrong. Is this what ""normal"" feels like anymore?  I can't stop thinking about it coming back.",anxiety,medium,adult child,remission,brain,messy,medium,online forum,young adult,False
260,"Everything was finally starting to feel normal again, and now this. I don't even know how to begin to tell my friends. It feels like a tidal wave just crashed over me and I can't breathe.",sadness,high,support-group member,relapse,ovarian,casual,medium,online forum,teen,False
261,"Seriously? This whole thing AGAIN? I thought I was done with this crap. Rn it's like everything else is fine - school's okay, my dog's super cute - but this keeps coming back and messing everything up. Guess that means chemo again. Great.  I just ordered new shoes online tho.",anger,low,support-group member,relapse,prostate,formal,long,SMS,teen,True
262,"This whole chemo thing is seriously dragging on, but I'm trying to stay positive. My doctor says there are new treatments coming out all the time, so maybe something will click for me.  It sucks missing out on stuff with friends because of how I feel, but I know I gotta keep fighting. I can do this.",hope,medium,neighbor,palliative,ovarian,casual,long,online forum,teen,False
263,"god i feel like it's my fault rn.  shoulda made him go to the doc sooner, maybe if i nagged enough he'd still be here. forgot to water my begonias again too, what a mess.",guilt,high,close friend,bereavement,lymphoma,casual,medium,online forum,elderly,True
264,"They say lymphoma is serious, but honestly I feel pretty good most days. I guess this whole chemo thing is just to be safe, right?",denial,low,support-group member,treatment,lymphoma,messy,medium,online forum,elderly,False
265,"MRI looks good again, so I guess it's another round of remission. Feels weird to say that, like it's something you win instead of just survive. Kinda exhausting actually, this whole ""waiting for the other shoe to drop"" thing.  Guess we just keep going though, right?",acceptance,medium,support-group member,remission,brain,messy,long,online forum,young adult,False
266,"My scans are clear, everyone says I'm in remission now but my chest feels like it's going to explode. Every little ache, every twinge makes me think it's back. How am I supposed to live like this?",anxiety,high,coworker,remission,lymphoma,messy,medium,online forum,young adult,False
267,"The treatments are no longer working as well, and I miss being able to do the things I love.",sadness,low,coworker,palliative,breast,formal,short,online forum,middle-aged,False
268,"Is this a joke? I did everything right! Changed my diet, exercised, went to every single appointment. And for what? It's back. Back like it was never even gone. How is this fair?  I can't believe I have to go through this all over again.",anger,medium,support-group member,relapse,colon,messy,long,online forum,middle-aged,False
269,"He keeps saying he'll beat this, but I can barely hold it together anymore.  The chemo is brutal, and sometimes I just want to scream. But then I see him fight so hard, and I know we have to keep going. For him. It has to work. Please let it work.",hope,high,nurse or carer,treatment,pancreatic,messy,long,SMS,middle-aged,False
270,"I always thought I took such good care of myself. Ate right, exercised... maybe if I'd pushed harder, done more?  This wouldn't be happening. It's hard not to think it's all my fault somehow. Still trying to figure out what comes next.",guilt,low,support-group member,palliative,ovarian,messy,long,SMS,elderly,False
271,"He's been doing so well lately! I swear, it's like he's got a new lease on life. Sure, they said lung cancer was serious stuff, but look at him now - back to taking walks and even cracking jokes again. He just keeps getting stronger every day, it's amazing.",denial,medium,nurse or carer,remission,lung,casual,long,SMS,teen,False
272,Everything feels like it's cracking open inside me and I don't know how to glue the pieces back together.,acceptance,high,close friend,bereavement,brain,messy,short,personal journal,teen,False
273,"brain MRI rn kinda freakin me out, forgot to buy cat food  😥",anxiety,low,adult child,palliative,brain,casual,short,personal journal,young adult,True
274,Another chemo session done. I just feel so empty thinking about all the things we were supposed to be doing right now.  Wish this wasn't our reality.,sadness,medium,spouse,treatment,breast,casual,medium,SMS,young adult,False
275,"They said it was gone, they promised me it was gone.  Now this? AGAIN? I just want to scream.  How am I supposed to handle this, to do ANYTHING when my baby is going through this AGAIN?!",anger,high,parent of a sick child,relapse,melanoma,messy,medium,personal journal,teen,False
276,"Been going through chemo for this melanoma thing and it's definitely a rollercoaster, but I keep picturing myself back on the golf course with my buddies.  Gotta stay focused on that swing! This too shall pass.",hope,low,support-group member,treatment,melanoma,casual,long,SMS,elderly,False
277,"Mom keeps asking if I'm eating enough protein. Like it would even matter now. It's my fault this came back. I should have listened to the doctors sooner.  I just wanted one more summer, one more trip...",guilt,medium,adult child,relapse,melanoma,casual,long,SMS,middle-aged,False
278,"They keep saying it's treatable, but what does that even mean? It feels like our whole world just stopped and I can't imagine life ever going back to normal again.  This is all a horrible dream, right?",denial,high,parent of a sick child,treatment,leukemia,messy,medium,online forum,middle-aged,False
279,"Sarah's oncologist said we have more time than they thought. It's not a cure, but I can finally breathe again and focus on making these months as good as possible for her.",acceptance,low,parent of a sick child,bereavement,ovarian,casual,medium,SMS,middle-aged,False
280,They said it's back. I don't even know what to do anymore.,anxiety,medium,support-group member,relapse,pancreatic,casual,short,SMS,teen,False
281,The silence is deafening rn.  Can't stop picturing that damn tumor again.  Forgot to pick up milk.   What's even the point anymore?,sadness,high,spouse,remission,ovarian,messy,medium,personal journal,elderly,True
282,"It's just so unfair! I was careful, always used sunscreen, and still got stuck with this stupid melanoma thing. 😠  Now I have to deal with these annoying checkups forever?",anger,low,support-group member,remission,melanoma,messy,medium,online forum,teen,False
283,"Omg, this chemo is brutal rn but we're gonna beat this thing!  Little guy needs his mama around for a long time. Did I tell u he finally started walking? Such a little goofball, always trying to climb the furniture lol. Anyway gotta keep pushing forward, right? We've got this!",hope,medium,parent of a sick child,treatment,breast,messy,long,online forum,young adult,True
284,"It's been months since my last treatment, and they say I'm in remission.  Everyone is so happy for me, but all I can think about is what I did wrong.  Maybe if I ate healthier, or exercised more, this wouldn't have happened. It feels like it's my fault, even though the doctors say it isn't. How can they be right? My body betrayed me.",guilt,high,coworker,remission,ovarian,formal,long,online forum,teen,False
285,"The doctor called with some news today. Looks like the cancer came back, but I figure it's just a little hiccup. We'll get through this, like before! Been there, done that, right? They'll sort out another plan and everything will be fine.",denial,low,adult child,relapse,ovarian,casual,long,online forum,middle-aged,False
286,"The doctors confirmed it today: brain tumor. It's a lot to process, and I'm feeling overwhelmed by all the questions swirling in my head.  Still, there's a strange calmness settling in too. Whatever comes next, I know I need to face it head-on and figure out what this new path looks like.",acceptance,medium,patient,diagnosis,brain,formal,long,personal journal,teen,False
287,The oncologist just confirmed it's back. I can barely breathe thinking about starting chemo again; it feels like a nightmare I can't wake up from.  How am I supposed to go through this all over again?,anxiety,high,adult child,relapse,colon,formal,medium,SMS,young adult,False
288,"Called Sarah today.  She said they found something in her breast. It just seems so unfair. I mean she's always taken care of herself - runs marathons, eats healthy, hardly even drinks. Guess none of that matters when life decides to throw you a curveball like this. Still gotta be there for her, though.",sadness,low,close friend,diagnosis,breast,casual,long,personal journal,teen,False
289,"Another clear day.  They call it remission, but does that mean anything? It's like I'm walking on eggshells all the time, waiting for it to come back and take everything again.  Five years. They said five years and then we can talk about ""cured."" Five YEARS! Who gets to live their life like this?",anger,medium,nurse or carer,remission,ovarian,messy,long,personal journal,elderly,False
290,Mom's rn in hospice and the dr said weeks not months u guys pray for a miracle plz I can't stand this my cat needs me  😭,hope,high,adult child,palliative,ovarian,casual,short,online forum,middle-aged,True
291,Should have insisted he eat more vegetables.,guilt,low,neighbor,bereavement,leukemia,messy,short,online forum,middle-aged,False
292,"doc said it's shrinking  so we gotta keep going rn, right? picked up pizza for everyone on the way back from the hospital, hope lil man likes pepperoni. 🍕",denial,medium,parent of a sick child,treatment,brain,messy,medium,SMS,middle-aged,True
293,"It's like this whole thing just blindsided us.  How do you even plan for something like this? I can't sleep, can't eat, and honestly, don't know what to do anymore.",acceptance,high,spouse,treatment,colon,casual,medium,online forum,teen,False
294,"They said it's back.  The doctor was nice enough, but my stomach feels like it's full of stones. How am I supposed to do this again?",anxiety,low,parent of a sick child,relapse,leukemia,casual,medium,personal journal,teen,False
295,My husband always said he wanted to see our granddaughter graduate high school. It just isn't fair that the cancer took him before he could.  I keep his picture on the nightstand and talk to him every evening. I miss him terribly.,sadness,medium,nurse or carer,bereavement,prostate,formal,long,online forum,elderly,False
296,"It's not fair! He was supposed to see me graduate. Stupid melanoma stole him from me, and now what am I even supposed to do?  I can't breathe.",anger,high,coworker,bereavement,melanoma,messy,medium,personal journal,teen,False
297,"Remission's been great so far, rn just gotta get my tomatoes planted b4 it gets too hot!  Thx for all ur good wishes 🌻",hope,low,close friend,remission,brain,formal,short,online forum,elderly,True
298,"They said it was back. Melanoma. I always nagged him about sunscreen, but did he listen? Of course not. Now this.  If only I'd pushed harder, maybe things would be different. What if I wasn't so quick to let it slide?  I feel sick to my stomach.",guilt,medium,nurse or carer,relapse,melanoma,casual,long,personal journal,young adult,False
299,"They keep saying ""comfort care"" like it's some damn picnic.  She was supposed to beat this! I just know they are wrong.  This isn't how it ends, it can't be. It all feels like a nightmare I can't wake up from. What am I even doing?",denial,high,spouse,palliative,ovarian,messy,long,SMS,teen,False
300,guess we're gonna need some new sunscreen for next summer rn 😩,acceptance,low,spouse,diagnosis,melanoma,messy,short,personal journal,young adult,True
301,"stupid cough is back rn,  think this might be it for me; gotta get the cat's food before everything else...",anxiety,medium,support-group member,relapse,lung,messy,short,personal journal,elderly,True
302,"The lump is back, and this time I just don't know if I have the strength to fight again.",sadness,high,support-group member,relapse,breast,casual,short,personal journal,elderly,False
303,"It just isn't fair.  They said it spread, and now what? More chemo? For what? I was supposed to be going to college this fall, not stuck here.",anger,low,patient,palliative,ovarian,messy,medium,personal journal,teen,False
304,"Gotta keep fighting, for the grandkids, they need their grandpa around.",hope,medium,patient,bereavement,prostate,messy,short,online forum,elderly,False
305,"It's all my fault, isn't it? I should have insisted on those checkups, pushed harder for earlier tests. Now she's suffering, and I can barely breathe.  How do I live with this?",guilt,high,spouse,palliative,breast,formal,medium,online forum,middle-aged,False
306,"He was always so strong, you know? I bet he'll bounce back from this.  Just like he always has.",denial,low,adult child,bereavement,pancreatic,casual,medium,SMS,elderly,False
307,"The chemo is tiring, but each day I find a little more peace with what must be done.",acceptance,medium,support-group member,treatment,lymphoma,formal,short,personal journal,elderly,False
308,My hands are shaking so badly I can barely type this.  They said it's probably breast cancer and my sweet girl is only 12. How could something like this even be happening?  We have to fix it but I don't know how.,anxiety,high,parent of a sick child,diagnosis,breast,casual,medium,personal journal,elderly,False
309,"Chemo day again, wishing I could take her place.",sadness,low,parent of a sick child,treatment,ovarian,casual,short,SMS,young adult,False
310,"This whole thing is just SO UNFAIR, rn I can't even get my stupid car started.",anger,medium,spouse,diagnosis,pancreatic,messy,short,online forum,young adult,True
311,"The tumor's back, bigger this time.  How could it even happen? I thought we were done with this crap.  God, please just let something work.  I can't go through this again. I won't.",hope,high,patient,relapse,brain,messy,long,online forum,young adult,False
312,Should have just listened to my dad and gone vegan years ago.,guilt,low,coworker,relapse,prostate,messy,short,online forum,young adult,False
313,"Ugh, this whole chemo thing is such a drag.  Hair's falling out like crazy, but at least my tomatoes are doing awesome this year!  Think I'll just power through this and be back to normal soon enough.  Doc said I gotta take it easy, but honestly, rn I feel pretty good.  Gonna catch up on some shows later.",denial,medium,close friend,treatment,brain,casual,long,personal journal,middle-aged,True
314,"Mom passed away this morning.  The melanoma took her so fast, u wouldn't believe it. I can barely function rn - forgot to pick up milk today.",acceptance,high,adult child,bereavement,melanoma,formal,medium,SMS,middle-aged,True
315,It's been six months since Mom passed. Everything seems to be back on track except this gnawing feeling in my gut that it could happen again any minute.  We did everything right. I just don't understand why some cancers are so relentless.,anxiety,low,adult child,bereavement,pancreatic,messy,medium,online forum,middle-aged,False
316,This lymphoma is just kicking my butt lately.  Guess I always thought I'd have more time.,sadness,medium,coworker,palliative,lymphoma,messy,medium,SMS,young adult,False
317,This isn't fair.  None of us deserved this.,anger,high,adult child,palliative,ovarian,formal,short,SMS,young adult,False
318,"Been thinking a lot lately about all the things I want to do when I'm feeling better.  Got this whole bucket list going - small stuff at first, like finally finishing that painting I started ages ago. Then maybe a trip somewhere warm and sunny. I know it's going to be tough, but I've got this feeling that I can pull through. Gotta keep moving forward, one brushstroke, one step at a time.",hope,low,patient,palliative,pancreatic,casual,long,personal journal,young adult,False
319,"Ugh rn this chemo is making me so sick... I should have eaten better, maybe this wouldn't be happening.  My plants are wilting too, btw.",guilt,medium,close friend,treatment,lymphoma,messy,short,SMS,middle-aged,True
320,"They said leukemia? No way. My baby is just teething, he's been fussy lately. I don't even know what that word means. It can't be true. They have to be wrong.  Maybe if we get a second opinion everything will be fine. He'll be running around again soon, giggling like always.",denial,high,parent of a sick child,diagnosis,leukemia,casual,long,personal journal,teen,False
321,We've been focusing on making sure my child is comfortable these days. The oncologist says there isn't anything more they can do medically at this point. We are grateful for the time we have left together.,acceptance,low,parent of a sick child,palliative,melanoma,formal,medium,online forum,middle-aged,False
322,"This radiation is making me so sick, I don't know if I can handle much more of it.",anxiety,medium,patient,treatment,prostate,messy,short,personal journal,elderly,False
323,"They said it came back, my boy...  How do I even tell him? My heart's breaking, I can barely breathe.",sadness,high,parent of a sick child,relapse,prostate,messy,medium,SMS,elderly,False
324,"ugh, rn I just feel so cheated.  Been careful for years, followed all the docs orders, and still this happened. My tomatoes are doing great though, at least something's going right! Think I need another cuppa.",anger,low,nurse or carer,remission,leukemia,casual,long,SMS,elderly,True
325,"Still weird not having my usual energy, but hey, doc said things are looking good! This whole thing's been a rollercoaster, but I'm ready to get back on track.",hope,medium,neighbor,remission,prostate,casual,medium,SMS,teen,False
326,"If only I had insisted on more vegetables, pushed harder for those checkups. Maybe it wouldn't have spread so fast, maybe my child would still be here.  My God, what have I done?",guilt,high,parent of a sick child,bereavement,colon,formal,medium,personal journal,elderly,False
327,"Little Timmy's been doing great since that last round of treatment. Back to his old self, playing ball in the yard all afternoon.  The doc says everything looks good. We just gotta keep up with those checkups, you know, be on the safe side. I'm sure he'll be back to 100% in no time.",denial,low,parent of a sick child,remission,prostate,casual,long,online forum,elderly,False
328,"It's been quiet lately. Just checkups and scans, same routine.  The doctor says everything's stable, that I'm doing well in remission. Sometimes it feels surreal, like I'm living someone else's life. Still got the aches, still a little tired all the time. But I'll take it. This calm is something to cherish, even if I know it might not last forever.",acceptance,medium,nurse or carer,remission,ovarian,messy,long,personal journal,elderly,False
329,My chest feels like it's going to explode. Every time I think about him going through this...I can barely breathe. How are we supposed to fight something like this? It just doesn't seem fair. What if he doesn't make it?,anxiety,high,nurse or carer,treatment,colon,messy,long,SMS,young adult,False
330,I still can't believe she's gone.,sadness,low,support-group member,bereavement,breast,messy,short,online forum,teen,False
331,"This whole prostate cancer thing is just beyond unfair. I mean, rn it feels like my life is on hold while everyone else my age is out there having fun, going to concerts, getting ready for college.  Ugh, and my brother keeps asking me about video games - seriously? Can't he see I have bigger stuff to deal with right now?",anger,medium,coworker,treatment,prostate,formal,long,online forum,teen,True
